section	css_line	selectors	classes
00 · UNNUMBERED PROLOGUE	1	1	
00 · WEB FONTS → EMBEDDED (see fonts.css)	15	0	
01 · RESET & BASE TYPOGRAPHY	19	3	page-wrapper
02 · PAGE WRAPPER	40	2	page-wrapper, title-shell
03 · HEAVY TITLE PAGE  (stylesheet2 treatment)	55	18	chapter-header, g1, g2, g3, title-content, title-edition, title-eyebrow, title-glow, title-heading, title-meta, title-meta-dot, title-meta-item, title-ornament, title-ornament-glyph, title-ornament-line, title-subtitle, title-tagline, title-vignette
04 · CHAPTER HEADER  (V4 — colorful)	211	6	chapter-header, chapter-number, chapter-rule, chapter-title
05 · BODY TEXT & DIALOGUE	290	9	beat, callout, dialogue-line, highlight, highlight2, location-stamp, no-indent, ornament, scene-break, sound-effect, thought
06 · LOCATION STAMP  (scene openers)	334	4	location-stamp, ls-date, ls-place, ls-sub, scene-break
07 · SCENE BREAK / ORNAMENT	364	1	lyric-block
08 · LYRIC BLOCK  (songs performed on-page, V4)	375	6	lb-header, lb-note, lyric-block, performance-block
09 · PERFORMANCE BLOCK  (staged & filmed, V4)	437	7	action-beat, beat, lyric, performance-block, pf-header, system-block
10 · SYSTEM INTERFACE — HEAVY BLOCK (V3)	497	16	finance-block, sys-ding, sys-header, sys-key, sys-line, sys-note, sys-row, sys-stat, sys-stat-label, sys-stat-line, sys-stat-value, sys-value, system-block
17 · FINANCE BLOCK  (editions, pricing & first-day numbers)	645	11	fb-header, fb-label, fb-row, fb-value, finance-block, notification
11 · NOTIFICATION CHIP  (single system dings)	722	1	phone-call
12 · PHONE-CALL BLOCK  (V4)	736	7	app-screen, pc-head, pc-me, pc-note, pc-them, phone-call
13 · APP SCREEN  (messages & headlines)	798	4	app-meta, app-screen, app-title, comment-thread
14 · COMMENT THREAD  (netizen reactions, V4)	828	7	comment-floor, comment-header, comment-item, comment-thread, lecture-block
15 · LECTURE BLOCK  (industry asides, V4)	893	5	lect-header, lect-q, lecture-block, pullquote
16 · PULLQUOTE  (V5 — “rose-gold sunset”)	935	4	beat, chapter-divider, pullquote
18 · CHAPTER DIVIDER	979	1	
19 · LINKS / IMAGES / MISC	986	2	wardrobe-block
20 · WARDROBE BLOCK  (outfit cards, V3)	999	11	contract-block, wardrobe-block, wd-caption, wd-effect, wd-header, wd-item, wd-label, wd-note, wd-photo, wd-tag
21 · CONTRACT BLOCK  (legal documents, V3)	1094	6	contract-block, ct-clause, ct-figure, ct-header, ct-note, hand-note
22 · HANDWRITTEN NOTE  (gift cards & notes)	1150	3	hand-note, hn-label, recording-block
23 · RECORDING BLOCK — NEW IN THIS VOLUME (V3)	1182	11	official-statement, rec-dot, rec-header, rec-note, rec-time, rec-voice, rec-voice2, recording-block
24 · OFFICIAL STATEMENT  (corporate press, V3)	1252	7	news-digest, official-statement, os-clause, os-masthead, os-meta, os-sign, os-title
25 · NEWS DIGEST  (media coverage, V3)	1317	4	nd-headline, nd-source, news-digest, trend-block
26 · TREND BLOCK  (charts & searches, V4)	1357	11	chat-container, tr-artist, tr-cat, tr-header, tr-hot, tr-rank, tr-work, trend-block
27 · CHAT BLOCK  (KakaoTalk messenger, V4)	1467	11	chat-bubble, chat-clear, chat-header, chat-meta, chat-name, chat-received, chat-sent, chat-sticker, self, studio-block
28 · STUDIO BLOCK  (production boards, V3)	1569	18	dossier-block, placement-reel, pr-header, pr-item, pr-note, pr-show, st-header, st-label, st-note, st-row, st-value, studio-block
29 · INVESTIGATIVE DOSSIER BLOCK — NEW	1720	15	dg-field, dg-flag, dg-header, dg-label, dg-msg, dg-note, dg-transcript, dg-transcript-label, dg-value, dossier-block, memory-block
30 · MEMORY BLOCK  (flashbacks, V3)	1853	4	hate-wall, mb-label, mb-voice, memory-block
31 · HATE-WALL BLOCK — NEW IN THIS VOLUME (V3)	1890	7	hand-letter, hate-wall, hw-header, hw-note, hw-scrawl
32 · HAND-LETTER BLOCK  (returning, V3)	1953	4	hand-letter, hl-label, hl-sign, variety-block
33 · VARIETY SHOW BLOCK  (broadcast language, V3)	1993	9	variety-block, vt-caption, vt-header, vt-mission, vt-rule, vt-tag, vt-verdict, world-dispatch
34 · WORLD-DISPATCH STAMP — NEW IN THIS VOLUME (V3)	2083	6	cover-body, wd-city, wd-country, wd-globe, wd-sub, world-dispatch
35 · COVER PAGE  (editable text cover)	2133	9	char-card, cover-edition, cover-eyebrow, cover-meta, cover-ornament, cover-overlay, cover-shell, cover-subtitle, cover-title
36 · CHARACTER PAGE  (wiki-style infoboxes)	2225	13	char-bio, char-card, char-infobox, char-note, ci-caption, ci-name, ci-photo, ci-table, status-panel
37 · STATUS PANEL  (character attribute sheet)	2323	12	filled, sp-bar, sp-header, sp-label, sp-note, sp-row, sp-subject, sp-total, sp-value, status-panel, toc-wrap
38 · TABLE OF CONTENTS  (nav document)	2430	5	award-block, toc-wrap
39 · AWARD BLOCK — NEW (V4)	2463	9	aw-header, aw-laurel, aw-note, aw-winner, aw-work, award-block, briefing-block
40 · BRIEFING BLOCK — NEW (V4)	2543	8	acting-block, bf-band, bf-item, bf-key, bf-source, bf-title, briefing-block
41 · ACTING BLOCK — NEW (V4)	2622	9	ac-cue, ac-direction, ac-heading, ac-line, ac-note, ac-slate, acting-block, box-office
42 · BOX-OFFICE BLOCK — NEW (V5)	2738	10	bo-figure, bo-header, bo-label, bo-note, bo-rank, bo-row, bo-title, box-office, official-post
43 · OFFICIAL POST — NEW (V5)	2866	7	official-post, op-band, op-body, op-handle, op-meta, screen-view
44 · SCREEN-VIEW BLOCK — NEW (V5)	2948	8	phone-call, screen-view, sinister, sv-caption, sv-header, sv-line, sv-note, sv-scene
34 · VARIANT OVERRIDES (cascade-ordered)	3040	15	blue, bright, fanclub-block, hand-note, hn-label, mb-label, mb-voice, memory-block, pc-head, pc-me, phone-call, red, reply, safe, sinister, variety-block, vt-tag, vt-verdict, xman, yellow
45 · FAN-CLUB FORUM — NEW (V3)	3101	10	char-intro-block, fanclub-block, fc-header, fc-modnote, fc-post, fc-text, fc-user, founder, mod
46 · CHARACTER INTRODUCTION — NEW (V3)	3192	10	acting-block, app-screen, award-block, box-office, briefing-block, chapter-header, char-infobox, char-intro-block, chat-container, ci-body, ci-born, ci-desc, ci-group, ci-name, ci-photo, ci-photo-wrap, ci-role, ci-tag, comment-thread, contract-block, fanclub-block, finance-block, hand-letter, hand-note, hate-wall, lecture-block, lyric-block, memory-block, news-digest, official-post, official-statement, performance-block, phone-call, pullquote, recording-block, screen-view, status-panel, studio-block, system-block, title-shell, trend-block, variety-block, wardrobe-block
47 · SMALL-SCREEN & HIGH-DENSITY SAFEGUARDS	3293	17	app-screen, bo-figure, box-office, chapter-header, chapter-title, char-infobox, char-intro-block, chat-bubble, ci-body, ci-photo-wrap, ci-table, fanclub-block, fc-post, news-digest, official-post, op-body, page-wrapper, sp-value, st-value, status-panel, studio-block, sys-header, sys-value, system-block, title-content, title-heading, title-meta-dot, whisper-block
39 · MIDNIGHT WHISPER BLOCK — NEW IN THIS VOLUME	3368	24	wh-close, wh-label, wh-reply, wh-voice, whisper-block
