chapter	title	body_words	date_stamps
chapter01	Oh No, I’m the Creep	1917	SEPTEMBER 2012
chapter02	The Goddess Handbook	1435	SEPTEMBER 2012 | SAME NIGHT
chapter03	Sulli	1328	THE NEXT MORNING | LATER THAT DAY
chapter04	System, You Absolute Menace	1673	SAME DAY
chapter05	Racing Heart, Trembling Hands	1899	SEPTEMBER 2012
chapter06	Loyalty	1795	SEPTEMBER 2012 | SEPTEMBER 2012 · EVENING | SEPTEMBER 2012 · NEXT MORNING
chapter07	Jeon Bo-ram, the Group’s Pushover	1624	SEPTEMBER 2012 | SEPTEMBER 2012 · OPENING DAY
chapter08	Jeon Bo-ram: Are You the Devil?!	1567	SEPTEMBER 2012 · OPENING DAY | SEPTEMBER 2012 · OPENING DAY | SEPTEMBER 2012 · OPENING NIGHT
chapter09	So You Should Call Me Noona~	1602	SEPTEMBER 2012
chapter10	A Cat with Its Fur Standing Up	1390	SEPTEMBER 2012
chapter11	Eun-jung-unnie, Going Cheap	1575	SEPTEMBER 2012 | SAME NIGHT
chapter12	A Familiar Girl	1636	SAME NIGHT · 10 P.M. | 12:30 A.M. | PAST ONE
chapter13	How Am I Supposed to Save You?	1599	SEPTEMBER 2012
chapter14	Sulli’s Dinner Invite	1225	SEPTEMBER 2012 | SAME DAY · 6:00 PM
chapter15	The Head Pat	1657	SEPTEMBER 2012
chapter16	Pinky Promise	1406	SEPTEMBER 2012 | LATE NIGHT
chapter17	Home	1379	SEPTEMBER 2012 · LATE EVENING | FRIDAY · 4:00 PM
chapter18	The Marriage Campaign	2888	FRIDAY EVENING
chapter19	The Jeju Concert	1711	FRIDAY NIGHT · SEPTEMBER 7 | SATURDAY, SEPTEMBER 8 · 4:00 PM
chapter20	A Light in the Black Ocean	1905	SATURDAY, SEPTEMBER 8 · 7:00 PM
chapter21	T-ara’s Closed-Door Meeting	2906	SATURDAY, SEPTEMBER 8 · AFTER THE FINAL POSE
chapter22	Together	2747	SATURDAY, SEPTEMBER 8 · A LITTLE PAST NINE
chapter23	The Contact Reward	3148	SATURDAY, SEPTEMBER 8 · NIGHT | LATER THAT NIGHT
chapter24	The Stock Forecast Card	1720	SUNDAY, SEPTEMBER 9 · JUST PAST MIDNIGHT | SUNDAY, SEPTEMBER 9 · 10:21 AM
chapter25	Bae Joo-hyun and Kang Seul-gi	1614	SEPTEMBER 2012
chapter26	The Set Visit	1337	SEPTEMBER 2012
chapter27	Kim Ji-won	1710	SEPTEMBER 2012
chapter28	Something Cooking in the Kitchen	1778	SEPTEMBER 2012 | SEPTEMBER 2012
chapter29	Caught Lying Again!	1558	SUNDAY EVENING
chapter30	Buying T-ara	1410	SAME NIGHT
chapter31	Weekly Meeting: Debrief and Orders	1405	MONDAY MORNING
chapter32	We’re Really Just Friends	1380	MONDAY
chapter33	The Cheongdam Storefront	1753	SEPTEMBER 2012 · AFTERNOON
chapter34	Why Don’t You Just Read My Whole Account	2513	SAME AFTERNOON | EVENING
chapter35	Thanks for Twenty-Two Years of Waiting Tables	1522	DUSK
chapter36	I’ve Eaten It — Yes, I’m Bragging!!	1672	STILL EVENING
chapter37	Baby, Why?	1535	SEPTEMBER 2012 · NIGHT | THE NEXT MORNING | SAME DAY · EARLY AFTERNOON
chapter38	Binding	1447	SAME AFTERNOON · CONTINUOUS
chapter39	Well, You Never Asked	2776	SAME DAY · LATE AFTERNOON | EVENING · WRAP
chapter40	Endorsement Plans	1560	THAT EVENING
chapter41	Sulli: Leave It to Me	1998	SAME EVENING
chapter42	You Could Just Keep Me Instead	1501	NEAR MIDNIGHT | THE NEXT MORNING
chapter43	Mushroom the Dog	1894	THIRTY MINUTES LATER
chapter44	A Goddess Chased by a Dog	1948	SIX THAT EVENING
chapter45	Forgot the Wallet	1549	SAME EVENING · CONTINUOUS | SAME EVENING
chapter46	The Rules of Binding	1529	SAME EVENING · CONTINUOUS
chapter47	It Was Her	1532	LATE THAT NIGHT | THE NEXT MORNING | 1:50 PM
chapter48	Lim Yoon-ah	1720	SAME AFTERNOON · CONTINUOUS | EVENING
chapter49	The Girl Left Behind	1686	TWO DAYS LATER · MORNING
chapter50	Oppa, I Believe in You — Fighting!	1324	SAME MORNING | MINUTES LATER
chapter51	Smart Little Dragon!	1404	MID-MORNING
chapter52	Park Ji-yeon, Girl Next Door	1557	STILL THAT MORNING | MORNING
chapter53	If You Won’t Make a Move, I Will	1660	SUNDAY · NOON
chapter54	How to Be a World-Class Wingman	1444	SUNDAY · EARLY AFTERNOON
chapter55	Knowing Exactly How That Feels	1487	SUNDAY · EARLY AFTERNOON
chapter56	The Weekly Meeting	1452	SUNDAY NIGHT | SUNDAY · 10 P.M. | MONDAY · 8 A.M.
chapter57	Stock Predictions	1656	MONDAY MORNING | STILL MONDAY MORNING
chapter58	The Little Dragon’s Scheme	1622	MONDAY AFTERNOON | THE SAME AFTERNOON
chapter59	This Is Pay-Per-View Material	1900	MONDAY, LATE AFTERNOON | A LITTLE AFTER SIX
chapter60	Talk About a Freebie Bonanza	1974	MONDAY NIGHT
chapter61	The Night Was Beautiful (18+)	3766	MONDAY NIGHT · ALMOST ELEVEN
chapter62	She Ran	1713	THE SMALL HOURS | TUESDAY MORNING · FIRST LIGHT
chapter63	The Little Dragon’s Honor at Stake	2128	TUESDAY MORNING · A LITTLE AFTER EIGHT | STILL THAT MORNING
chapter64	This… Counts as Seduction, Right?	1612	THE SAME MORNING | MEANWHILE | TEN O’CLOCK
chapter65	The Wrap Party	2529	TUESDAY | TUESDAY EVENING
chapter66	Sulli’s Request	1479	SAME NIGHT · PAST ELEVEN
chapter67	Peach Is No Fool	1463	SAME NIGHT · NEAR ELEVEN THIRTY
chapter68	Two Birds, One Stone	1221	SAME NIGHT · ALMOST MIDNIGHT | MIDNIGHT
chapter69	Victoria’s Cold Shoulder	1426	THE NEXT MORNING | TEN O’CLOCK | FIVE FIFTY
chapter70	An Unhappy Parting	1665	SIX O’CLOCK
chapter71	Making It Official	2415	A LITTLE BEFORE SEVEN
chapter72	Keep Hiding, Eun-jung-unnie!	3753	THE NEXT MORNING | THAT MORNING | MEANWHILE
chapter73	Torn Peach, Broke Ji-yeon	4074	FRIDAY · THE LAST DAY OF SEPTEMBER | MEANWHILE | EARLY AFTERNOON
chapter74	What, Too Scared to Meet the In-Laws?	3136	FRIDAY AFTERNOON · HALF PAST THREE | THE SAME EVENING, EARLY
chapter75	Am I the First Woman to Know Oppa’s Passcode?	3140	SATURDAY MORNING · EIGHT THIRTY | SATURDAY MORNING
chapter76	Hyo-min’s Method for Picking Men	2614	SATURDAY · PAST NOON
chapter77	Goo Hara: Gulp… I Just Discovered Something Huge	2669	SATURDAY AFTERNOON | FORTY MINUTES LATER | SATURDAY EVENING
chapter78	A Good Sport, That Goo Hara	1292	SATURDAY NIGHT · STILL GRILLING
chapter79	Peach’s Stolen Kiss	1593	SAME NIGHT · OVER DESSERT
chapter80	Surprise After Surprise: The Dragon Is Bound	3480	SATURDAY NIGHT · PAST EIGHT | MEANWHILE · MINUTES EARLIER | THE DRIVE HOME
chapter81	Blushing Peach, Clever Mermaid	3090	SATURDAY NIGHT · TEN O’CLOCK | SUNDAY MORNING · TEN | SAME MORNING
chapter82	Showing Me This First Thing in the Morning? Little Dragon, You’re Up to No Good	3236	SUNDAY · LATE MORNING | SUNDAY · NOON | SUNDAY · EARLY AFTERNOON | SUNDAY · MID-AFTERNOON
chapter83	Almost Something	2895	SUNDAY · AFTERNOON INTO EVENING
chapter84	The Plan in Motion	2567	MONDAY · 8:00 A.M.
chapter85	The Joy of Spending Money	3359	MONDAY · LATE MORNING
chapter86	A Girl’s Heart	2608	MONDAY · EARLY AFTERNOON | MONDAY · EARLY AFTERNOON | MONDAY · EARLY AFTERNOON | MONDAY · LATE AFTERNOON
chapter87	Oppa Really Isn’t a Con Man	3712	EARLY EVENING | SAME EVENING
chapter88	Aftermath and the Necklace (18+)	5679	SAME EVENING | A LITTLE LATER · EARLY EVENING
chapter89	They’re About to Be His	2968	NEXT MORNING · 8:00 A.M. | 8:45 A.M. | 10:30 A.M. | SAME MORNING · 10:40 A.M.
chapter90	The Dragon’s Call	3072	MONDAY · LATE MORNING | MONDAY · LATE MORNING | MONDAY · LATE MORNING
chapter91	Bo-ram’s Flying Embrace	4137	EVENING · 6:00 P.M.
chapter92	The Clever Lee Qri (18+)	4814	NIGHT · PAST NINE
chapter93	Poaching the Front Desk	4141	MORNING · 8:30 A.M. | MORNING · 9:30 A.M.
chapter94	Victoria’s Apology	4012	LATE MORNING | JUST PAST ELEVEN
chapter95	A Chance Encounter with Joo-hyun and Seul-gi	3494	ALMOST NOON | LUNCH HOUR
chapter96	Kang Seul-gi Breaks Down	5307	MID-AFTERNOON | EARLY AFTERNOON | LATE AFTERNOON
chapter97	The Little Dragon and the Peach	2918	LATE AFTERNOON | HALF PAST THREE
chapter98	The Peach Kissed First	4109	NIGHT | PAST NINE | PAST TEN
chapter99	Arrangements and the Japan Itinerary	3458	FRIDAY MORNING · OCTOBER 2012 | SAME HOUR
chapter100	Let’s Go Camping	3684	FRIDAY AFTERNOON | PAST TWO
chapter101	The Qri and Bo-ram Show	3540	FRIDAY EVENING | SIX P.M.
chapter102	I’m the Eldest Here	3150	FRIDAY · PAST SEVEN
chapter103	Night Talk Beneath the Stars	3302	FRIDAY · DEEP NIGHT | SATURDAY MORNING | SATURDAY · MIDDAY
chapter104	The Raccoon and the Shiba	3187	SATURDAY · NOON | SATURDAY AFTERNOON | SATURDAY EVENING
chapter105	Sulli’s Dream	3343	SATURDAY EVENING · CONTINUED | SATURDAY NIGHT | SUNDAY MORNING
chapter106	You Knew, and You Still Came Over	2853	SUNDAY MORNING · CONTINUED | SUNDAY · NOON
chapter107	The CJ Squeeze	2532	MONDAY MORNING | SAME MORNING
chapter108	Yoon-ah, Tae-yeon, and the Uninvited Han So-hee	3537	TUESDAY · ELEVEN O’CLOCK | SAME AFTERNOON
chapter109	The Overthinking Han So-hee	3133	TUESDAY · EARLY AFTERNOON | MINUTES LATER | TUESDAY · MID-AFTERNOON | CONTINUED
chapter110	The Test No Official Could Withstand	3789	TUESDAY · EARLY AFTERNOON | TUESDAY · ONE O’CLOCK | TUESDAY · FOUR-THIRTY | TUESDAY · LATE AFTERNOON | TUESDAY EVENING
chapter111	Han So-hee, In for a Penny, In for a Pound	3083	TUESDAY EVENING
chapter112	Gap Aegyo and the Happy Little Dragon	3505	WEDNESDAY · EIGHT SHARP | WEDNESDAY MORNING
chapter113	House Hunting and a Chance Encounter	3241	WEDNESDAY · MIDDAY | WEDNESDAY AFTERNOON | WEDNESDAY · LATE AFTERNOON
